arm_x,arm_y,arm_z,arm_qx,arm_qy,arm_qz,arm_qw,arm_q0,arm_q1,arm_q2,arm_q3,arm_q4,arm_q5,arm_q6,hand_0,hand_1,hand_2,hand_3,hand_4,hand_5,hand_6,hand_7,hand_8,hand_9,hand_10,hand_11,hand_12,hand_13,hand_14,hand_15
0.1600937448,-0.4297894048,-0.7481092901,0.2867756205,0.2839817759,-0.60053704,-0.6902675988,-0.0193932323,1.7348211773,0.8272750001,1.6103527179,0.1117535683,-0.0095575392,-1.4308180032,0.0321675625,1.550468381,0.7515440255,0.7434850962,-0.0539484113,1.313929958,0.7337867717,0.1688088884,-0.1917256531,1.5316701725,0.6597843468,0.6683076733,1.5447449132,0.3716520667,-0.3067467796,1.6993684458
0.1600937448,-0.4297894048,-0.7481092901,0.2867756205,0.2839817759,-0.60053704,-0.6902675988,-0.0193931723,1.7348211773,0.8272750599,1.6103522985,0.1117537601,-0.0095574194,-1.4308180032,0.0321675625,1.550468381,0.7515440255,0.7434850962,-0.0539484113,1.313929958,0.7337867717,0.1688088884,-0.1917256531,1.5316701725,0.6597843468,0.6683076733,1.5447449132,0.3716520667,-0.3067467796,1.6993684458
0.1600940736,-0.4297894011,-0.7481091452,0.2867759145,0.2839822629,-0.6005368802,-0.6902674154,-0.019393472,1.7348211174,0.8272778763,1.6103524182,0.1117536643,-0.0095575392,-1.4308180032,0.0321871044,1.5505750104,0.7515172115,0.7434844937,-0.0539124201,1.3138973689,0.7337717955,0.1688088884,-0.1917297147,1.5316774838,0.6597158857,0.6683067483,1.5447272541,0.3716211483,-0.3068418609,1.6993843555
0.1600940736,-0.4297894011,-0.7481091452,0.2867759145,0.2839822629,-0.6005368802,-0.6902674154,-0.0193937116,1.7348212972,0.8272827298,1.6103522385,0.1117536643,-0.0095575392,-1.4308181231,0.0321871044,1.5505750104,0.7515172115,0.7434844937,-0.0539124201,1.3138973689,0.7337717955,0.1688088884,-0.1917297147,1.5316774838,0.6597158857,0.6683067483,1.5447272541,0.3716211483,-0.3068418609,1.6993843555
0.1600940736,-0.4297894011,-0.7481091452,0.2867759145,0.2839822629,-0.6005368802,-0.6902674154,-0.0193937715,1.7348212972,0.8272932161,1.6103519988,0.1117535683,-0.0095575392,-1.4308181231,0.0320945076,1.5505868829,0.7515510073,0.7434030565,-0.0539438331,1.3138856208,0.733743417,0.1688088884,-0.1917331189,1.5316436092,0.6597936084,0.6682872595,1.544655565,0.3715921265,-0.3068481126,1.6993902208
0.1600967102,-0.4297899016,-0.7481062791,0.2867799478,0.2839851987,-0.6005359736,-0.6902653206,-0.0193945506,1.7348213571,0.8272982494,1.6103522985,0.1117536643,-0.0095575992,-1.4308180032,0.0320945076,1.5505868829,0.7515510073,0.7434030565,-0.0539438331,1.3138856208,0.733743417,0.1688088884,-0.1917331189,1.5316436092,0.6597936084,0.6682872595,1.544655565,0.3715921265,-0.3068481126,1.6993902208
0.1600967102,-0.4297899016,-0.7481062791,0.2867799478,0.2839851987,-0.6005359736,-0.6902653206,-0.0193955093,1.7348216567,0.8273020244,1.6103517592,0.1117536643,-0.009557659,-1.4308181231,0.0319786093,1.5505865595,0.7515159185,0.7434046867,-0.0540080702,1.3138435495,0.7338018713,0.1688088884,-0.1918314315,1.5317083757,0.6597250977,0.6682081578,1.5447256083,0.371591973,-0.3067680887,1.6993494223
0.1601006036,-0.4297904533,-0.7481022852,0.2867859314,0.2839895374,-0.6005351637,-0.6902617543,-0.0193951498,1.7348211773,0.8273059193,1.6103521187,0.1117536643,-0.0095577189,-1.4308181231,0.0319786093,1.5505865595,0.7515159185,0.7434046867,-0.0540080702,1.3138435495,0.7338018713,0.1688088884,-0.1918314315,1.5317083757,0.6597250977,0.6682081578,1.5447256083,0.371591973,-0.3067680887,1.6993494223
0.1601006036,-0.4297904533,-0.7481022852,0.2867859314,0.2839895374,-0.6005351637,-0.6902617543,-0.0193948501,1.7348210575,0.8273087955,1.6103517592,0.1117536643,-0.009557659,-1.4308180032,0.0319786093,1.5505865595,0.7515159185,0.7434046867,-0.0540080702,1.3138435495,0.7338018713,0.1688088884,-0.1918314315,1.5317083757,0.6597250977,0.6682081578,1.5447256083,0.371591973,-0.3067680887,1.6993494223
0.1601026229,-0.4297908896,-0.7481000168,0.286789283,0.2839918847,-0.6005341509,-0.6902602771,-0.0193948501,1.7348208777,0.8273125107,1.6103525381,0.1117535683,-0.0095575992,-1.4308181231,0.0321460079,1.5505433609,0.7515472507,0.7434810872,-0.0540391536,1.3138716514,0.7338167992,0.1688088884,-0.1917067151,1.5315797455,0.6598134594,0.6683287302,1.5446738764,0.3716421459,-0.3067946852,1.6993819451
